MIDI;dB;Total;Clarity;Crest;SpecBal;CPP;Entropy;dEGGmax;Qcontact;Icontact;HRFegg;maxCluster;Cluster 1;Cluster 2;Cluster 3;Cluster 4;Cluster 5;maxCPhon;cPhon 1;cPhon 2;cPhon 3;cPhon 4;cPhon 5
52;58;102;0.483642;2.77815;-16.2533;29.8073;0;10.6604;0.481313;0.1957;-6.99781;1;12;3;5;2;0;1;13;3;2;4;0
52;59;164;0.488043;2.72046;-16.6864;29.5839;0;9.21588;0.491047;0.28804;1.49281;3;0;0;9;6;0;3;2;0;13;0;0
52;60;78;0.486942;2.68112;-16.1813;29.2669;0;7.77084;0.495404;0.24531;0.32045;4;0;0;2;11;0;1;8;2;3;0;0
53;40;112;0.490479;2.00366;-32.4936;20.7574;0;4.97176;0.375123;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;60;8;0.486472;2.6603;-15.9145;28.6856;0;8.16755;0.496062;0.26181;-7.59267;1;2;0;1;0;1;4;0;1;0;3;0
54;40;201;0.491611;2.09368;-33.7204;21.1738;0;6.94181;0.317142;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;42;7;0.493326;2.61263;-22.4977;28.8343;0;12.1369;0.403039;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;40;411;0.481407;1.92842;-29.6354;20.6625;0;5.39484;0.398988;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;41;7;0.492858;2.46388;-28.3305;26.3264;0;9.73544;0.331984;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;42;20;0.492452;2.35195;-24.9471;26.9277;0;9.52268;0.361839;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;43;32;0.492433;2.28447;-24.3058;26.6285;0;9.11865;0.369141;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;45;14;0.481321;2.68488;-24.2234;26.6837;0;12.1069;0.391789;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;51;13;0.459651;2.97385;-16.5712;27.3818;0;13.7227;0.403588;0.13925;-22.9095;1;2;0;0;0;0;4;0;0;0;2;0
55;53;19;0.488415;3.12929;-13.8731;30.6976;0;11.8161;0.438831;0.17591;-22.1065;1;29;0;0;0;0;4;0;0;0;29;0
55;54;53;0.47878;3.14657;-13.3967;29.2956;0;13.2818;0.452469;0.15698;-22.9376;1;13;0;0;0;0;4;0;0;0;13;0
55;55;7;0.475527;3.13563;-12.3191;27.1996;0;10.99;0.465916;0.14626;-23.4731;1;9;0;0;0;0;4;0;0;0;9;0
56;40;271;0.48289;1.87139;-29.8474;20.8804;0;5.12756;0.413263;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;41;70;0.491403;2.285;-28.0926;26.4504;0;8.67428;0.339756;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;42;62;0.490746;2.14902;-27.4042;25.5023;0;7.96301;0.380894;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;43;56;0.494767;2.10301;-29.9621;24.736;0;5.57821;0.367544;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;44;68;0.491793;2.17288;-26.558;25.3424;0;6.53486;0.367784;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;45;52;0.494849;2.17019;-25.9882;25.7136;0;6.83913;0.374847;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;46;66;0.494136;2.37362;-24.1798;27.5532;0;8.40236;0.379824;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;47;97;0.49291;2.21621;-26.3814;27.2101;0;7.58113;0.394423;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;48;70;0.492962;2.33994;-22.6602;27.4482;0;8.18909;0.408021;0.28074;-20.5886;1;2;0;0;0;0;4;0;0;0;2;0
56;49;40;0.492953;2.49034;-20.8182;28.4853;0;10.1073;0.412554;0.24495;-21.1998;1;3;0;0;0;0;4;0;0;0;3;0
56;50;58;0.488168;2.39455;-20.2475;27.5709;0;9.31197;0.42486;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;51;104;0.489102;2.62665;-18.2256;29.313;0;12.0412;0.418537;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;52;80;0.492346;2.74642;-16.7021;29.8989;0;12.5033;0.426333;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;53;126;0.482902;2.81333;-15.8463;29.0222;0;12.5615;0.436058;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;54;139;0.481352;2.96927;-13.945;28.4646;0;12.5779;0.455873;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;55;89;0.484691;2.71383;-13.9887;29.2313;0;11.6346;0.465654;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;56;88;0.487149;2.72367;-13.9159;30.7559;0;11.4769;0.474252;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;57;90;0.495021;2.27615;-15.0822;31.1105;0;11.0213;0.479009;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;58;49;0.495772;2.23545;-15.1577;31.6809;0;10.6881;0.493076;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;59;99;0.494179;2.1716;-15.0841;30.26;0;9.89899;0.498395;0.12894;-15.8748;1;13;0;0;0;0;4;0;0;0;13;0
56;60;58;0.495635;2.42151;-13.4875;31.966;0;10.9644;0.529213;0.39446;-3.73634;2;0;3;0;0;2;1;5;0;0;0;0
56;61;80;0.492653;2.46571;-11.9511;32.4496;0;11.0321;0.538954;0.37458;-3.52046;5;0;0;0;0;1;1;1;0;0;0;0
56;62;170;0.492201;2.50894;-12.0167;32.704;0;10.244;0.556462;0.26905;-7.56526;2;1;2;0;0;0;1;2;0;0;1;0
56;63;29;0.490694;2.436;-14.6772;32.1272;0;10.0657;0.5515;0.08665;-17.3879;1;7;0;0;0;0;4;0;0;0;7;0
57;40;80;0.469211;1.79112;-31.661;19.3082;0;3.98594;0.41737;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;42;10;0.497079;1.94751;-35.4246;22.0064;0;7.03254;0.492441;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;43;10;0.492356;1.85274;-29.2099;24.8652;0;2.86312;0.373328;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;46;10;0.492421;1.77544;-31.5628;25.966;0;4.44906;0.386573;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;53;7;0.469192;3.18843;-14.8634;27.878;0;13.9666;0.452974;0.22019;-22.1223;1;12;0;0;0;0;4;0;0;0;12;0
58;40;44;0.495549;1.67423;-34.3485;18.7728;0;3.23935;0.399497;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;40;503;0.494242;1.66541;-33.6966;18.6463;0;3.04197;0.455218;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;43;23;0.489403;2.02881;-35.1831;22.8559;0;4.55458;0.34513;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;46;59;0.496921;2.0308;-31.9678;26.1117;0;4.0456;0.348484;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;47;82;0.497371;2.05603;-31.1294;25.5234;0;3.96676;0.353485;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;48;83;0.496849;2.09999;-30.0554;26.3697;0;3.82178;0.354575;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;49;35;0.496257;2.13227;-29.8292;25.6609;0;3.58752;0.365634;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;50;47;0.497204;2.20058;-29.1572;25.8916;0;3.58183;0.374039;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;51;35;0.497751;2.23163;-27.7459;26.2859;0;3.75722;0.383848;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;52;36;0.497863;2.26231;-24.9839;26.8089;0;3.80705;0.394912;0.19228;-21.0748;1;8;0;0;0;0;4;0;0;0;8;0
59;53;11;0.498417;2.37223;-20.5363;28.4465;0;3.98747;0.395252;0.19669;-21.8623;1;10;0;0;0;0;4;0;0;0;10;0
